Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Octopus,Stationary,,Alert Sitting,STATE,1559.250,1570.064,10.814,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Clam1,Burrow,Evasion,,STATE,1560.000,1800.799,240.799,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Clam1,Lontano,,,STATE,1560.000,1800.799,240.799,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Clam2,Stationary,,Alert Sitting,STATE,1560.000,1800.799,240.799,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Clam2,Lontano,,,STATE,1560.000,1800.799,240.799,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Clam3,Stationary,,Unknown,STATE,1560.000,1800.799,240.799,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Clam3,Lontano,,,STATE,1560.000,1800.799,240.799,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Hermit Crab1,Stationary,,Alert Sitting,STATE,1560.000,1663.800,103.800,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Hermit Crab1,Vicinity,,,STATE,1560.000,1800.799,240.799,,
Ragnar S1200011,2022-06-27 09:33:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1200011.MP4,1800.800,29.97,pre,6,day,no,Hermit Crab2,Unobservable,,,STATE,1560.000,1800.799,240.799,,
